********************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUADRatlas v1.1.2302 RG4BPs annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
********************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please cite QUADRatlas as:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bourdon S, Herviou P, Dumas L, Destefanis E, Zen A, Cammas A, Millevoi S, Dassi E. (2023) QUADRatlas: the RNA G-Quadruplex (RG4) and RG4-binding proteins database. Nucleic Acids Research, doi: 10.1093/nar/gkac782.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#-- RG4BPs annotations table --------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genename,id_gene,genealias,specie,chr,start,end,biotype,geneversion,strand,linkUniprot,linkProteinDomain,linkPTM,linkSTRING,linkBioGrid,isKnownRBP,TypenBCL2L2-PABPN1,ENSG00000258643,,Homo sapiens,14,23306833,23326175,protein_coding,ENSG00000258643.6,#ERROR!,,,,https://version-11-0b.string-db.org/cgi/network?identifiers=9606.ENSP00000451320,,,N.D.
ACTG1,ENSG00000184009,ACT|ACTG|DFNA20|DFNA26|HEL-176,Homo sapiens,17,81509971,81523847,protein_coding,ENSG00000184009.12,-,https://www.uniprot.org/uniprot/P63261#function,http://smart.embl-heidelberg.de/smart/show_motifs.pl?ID=P63261,http://www.phosphosite.org/uniprotAccAction?id=P63261,https://version-11-0b.string-db.org/cgi/network?identifiers=9606.ENSP00000331514,https://thebiogrid.org/106586/summary/homo-sapiens/,TRUE,N.D.,,,,,,,,,,,,,,,,
ACTL6A,ENSG00000136518,ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K|SMARCN1,Homo sapiens,3,179562886,179588407,protein_coding,ENSG00000136518.17,-,https://www.uniprot.org/uniprot/O96019#function,http://smart.embl-heidelberg.de/smart/show_motifs.pl?ID=O96019,http://www.phosphosite.org/uniprotAccAction?id=O96019,https://version-11-0b.string-db.org/cgi/network?identifiers=9606.ENSP00000397552,https://thebiogrid.org/106601/summary/homo-sapiens/,,N.D.,,,,,,,,,,,,,,,,
ACTN1,ENSG00000072110,BDPLT15,Homo sapiens,14,68874128,68979440,protein_coding,ENSG00000072110.15,-,https://www.uniprot.org/uniprot/P12814#function,http://smart.embl-heidelberg.de/smart/show_motifs.pl?ID=P12814,http://www.phosphosite.org/uniprotAccAction?id=P12814,https://version-11-0b.string-db.org/cgi/network?identifiers=9606.ENSP00000377941,https://thebiogrid.org/106602/summary/homo-sapiens/,TRUE,N.D.,,,,,,,,,,,,,,,,
ACTN4,ENSG00000130402,ACTININ-4|FSGS|FSGS1,Homo sapiens,19,38647649,38731589,protein_coding,ENSG00000130402.13, ,https://www.uniprot.org/uniprot/O43707#function,http://smart.embl-heidelberg.de/smart/show_motifs.pl?ID=O43707,http://www.phosphosite.org/uniprotAccAction?id=O43707,https://version-11-0b.string-db.org/cgi/network?identifiers=9606.ENSP00000252699,https://thebiogrid.org/106596/summary/homo-sapiens/,TRUE,N.D.,,,,,,,,,,,,,,,,
